Media,Chapter,Performer,FileName,Duration,Channels,SampleRate,Precision,FileSize,BitRate,SampleEncoding,Link
The-Wonder-That-Is-Sanskrit-Devabhasha,1,Sampadananda Mishra,chap1.wav,"00:00:50.25
",2,22050,16-bit,4.43M,706k,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdZkJSdjRlOVU0cFk/view
The-Wonder-That-Is-Sanskrit-Devabhasha,10,Sampadananda Mishra,chapter10s1.wav,"00:00:15.05
",2,22050,16-bit,1.33M,706k,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdWWg2cVFQRG9MbW8/view
The-Wonder-That-Is-Sanskrit-Devabhasha,10,Sampadananda Mishra,chapter10s2.wav,"00:00:14.95
",2,22050,16-bit,1.32M,706k,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkddVQ4U3hUT3pVaWc/view
The-Wonder-That-Is-Sanskrit-Devabhasha,10,Sampadananda Mishra,chapter10s3.wav,"00:00:54.10
",1,22050,16-bit,2.39M,353k,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdWDk4OF9zal9KTjg/view
The-Wonder-That-Is-Sanskrit-Devabhasha,2,Sampadananda Mishra,Alphabet.wav,"00:00:54.89
",2,44100,16-bit,9.68M,1.41M,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdbjBhTE4xTHpFb1E/view
The-Wonder-That-Is-Sanskrit-Devabhasha,2,Sampadananda Mishra,Bhagavadgita.wav,"00:00:04.13
",2,44100,16-bit,729k,1.41M,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkddkY1dWZpOU90XzA/view
The-Wonder-That-Is-Sanskrit-Devabhasha,2,Sampadananda Mishra,Cha-varga.wav,"00:00:05.39
",2,44100,16-bit,952k,1.41M,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdYm1ja3ZkZnYzemc/view
The-Wonder-That-Is-Sanskrit-Devabhasha,2,Sampadananda Mishra,chapter2s1.wav,"00:00:22.11
",2,22050,16-bit,1.95M,706k,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdRm9MX1FrSzRwUVk/view
The-Wonder-That-Is-Sanskrit-Devabhasha,2,Sampadananda Mishra,chapter2s2.wav,"00:00:20.34
",2,22050,16-bit,1.79M,706k,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdZnVqS2M0SzZVOG8/view
The-Wonder-That-Is-Sanskrit-Devabhasha,2,Sampadananda Mishra,chapter2s3.wav,"00:00:49.04
",2,22050,16-bit,4.33M,706k,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdTTFseHFUYlpoMjg/view
The-Wonder-That-Is-Sanskrit-Devabhasha,2,Sampadananda Mishra,H.wav,"00:00:00.38
",2,44100,16-bit,66.6k,1.41M,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdTzM3aVpUYl9qX0U/view
The-Wonder-That-Is-Sanskrit-Devabhasha,2,Sampadananda Mishra,Ishatsparsha.wav,"00:00:04.05
",2,44100,16-bit,714k,1.41M,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdQlA5WnJhek9fT1U/view
The-Wonder-That-Is-Sanskrit-Devabhasha,2,Sampadananda Mishra,Ka-varga.wav,"00:00:04.79
",2,44100,16-bit,846k,1.41M,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdWEFvZWxoa0lLdUE/view
The-Wonder-That-Is-Sanskrit-Devabhasha,2,Sampadananda Mishra,Pa-varga.wav,"00:00:05.09
",2,44100,16-bit,899k,1.41M,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdZldlTjdRN181ZkE/view
The-Wonder-That-Is-Sanskrit-Devabhasha,2,Sampadananda Mishra,Sandhi.wav,"00:00:02.83
",2,44100,16-bit,500k,1.41M,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdWFItR3g5dXdiMXc/view
The-Wonder-That-Is-Sanskrit-Devabhasha,2,Sampadananda Mishra,Ta-varga.wav,"00:00:05.16
",2,44100,16-bit,911k,1.41M,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdS0V5RkhVRjhLdHc/view
The-Wonder-That-Is-Sanskrit-Devabhasha,2,Sampadananda Mishra,Tta-varga.wav,"00:00:04.88
",2,44100,16-bit,860k,1.41M,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdWGNpMkFNaTBEQ00/view
The-Wonder-That-Is-Sanskrit-Devabhasha,2,Sampadananda Mishra,ushman.wav,"00:00:03.04
",2,44100,16-bit,536k,1.41M,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdT0k2S1AzOFRfQnc/view
The-Wonder-That-Is-Sanskrit-Devabhasha,3,Sampadananda Mishra,chapter3s01.wav,"00:00:16.07
",2,22050,16-bit,1.42M,706k,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdMUVDV21nakgzeEk/view
The-Wonder-That-Is-Sanskrit-Devabhasha,3,Sampadananda Mishra,chapter3s02.wav,"00:00:15.88
",2,22050,16-bit,1.40M,706k,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdRXRFOXczMXdDaFE/view
The-Wonder-That-Is-Sanskrit-Devabhasha,3,Sampadananda Mishra,chapter3s03.wav,"00:00:14.58
",2,22050,16-bit,1.29M,706k,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdNHA1ZHp5Vzk2aXc/view
The-Wonder-That-Is-Sanskrit-Devabhasha,3,Sampadananda Mishra,chapter3s04.wav,"00:00:15.05
",2,22050,16-bit,1.33M,706k,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdM04zc0tQNUl6QUk/view
The-Wonder-That-Is-Sanskrit-Devabhasha,3,Sampadananda Mishra,chapter3s05.wav,"00:00:13.91
",2,22050,16-bit,1.23M,706k,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdQ01PN0NkcXZLMWM/view
The-Wonder-That-Is-Sanskrit-Devabhasha,3,Sampadananda Mishra,chapter3s06.wav,"00:00:14.49
",2,22050,16-bit,1.28M,706k,16-bit Signed Integer PCM,https://drive.google.com/file/d/0B18LtqS5BYkdam15SVVrRTgxdDQ/view
